market_place,product_title,star_rating,helpful_votes,total_votes,verified_purchase,review_headline,Review,review_date,review_day,review_month,review_year,product_category
US,There Was an Old Lady Who Swallowed a Shell!,1,0,0,"1 	(Y)",Five Stars,I love it and so does my students!,31-08-2015,Monday,August,2015,hardcover_book
US,I Saw a Friend,1,0,0,"1 	(Y)","Please buy I Saw a Friend""! Your children will be delighted!""","My wife and I ordered 2 books and gave them as presents...one to a friend's daughter and the other to our grandson! Both children were so happy with the story, by author Katrina Streza, and they were overjoyed with the absolutely adorable artwork, by artist Michele Katz, throughout the book! We highly recommend &#34;I Saw a Friend&#34; to all your little ones!!!",31-08-2015,Monday,August,2015,hardcover_book
US,"Black Lagoon, Vol. 6",1,0,0,"1 	(Y)",Shipped fast.,Great book just like all the others in the series.,31-08-2015,Monday,August,2015,hardcover_book
US,If I Stay,1,0,0,"0 	(N)",Five Stars,So beautiful,31-08-2015,Monday,August,2015,hardcover_book
US,Stars 'N Strips Forever,1,2,2,"1 	(Y)",Five Stars,Enjoyed the author's story and his quilts are incredible. I have plans to make three.,31-08-2015,Monday,August,2015,hardcover_book
US,Devil in the Details (Book 2: The Monastery Murders) (Volume 2),1,2,2,"0 	(N)",The Monastery Murders - Book 2: Devil in the Details,"&#34;Secrets in the Shallows,&#34; Book 1 of &#34;The Monastery Murders&#34; series grabbed me and drew me in! Book 2, &#34;Devil in the Detals&#34; tightened its hold on me and now I'm addicted! Did Mother Superior really murder the two Catholic school boys? If she didn't, then who did, and will the actual murderer be found out and caught? Did the murder of the beautiful, golden tressed nun and a boy's apparent suicide ten years earlier tie in with the more recent murders? What is the spirit in the Monastery trying to say? Some answers are revealed in this book, but the mystery broadens, and many more questions arise. I enjoyed this gripping book immensely and you will too! Now I must read Book 3 so I can get the whole story!",31-08-2015,Monday,August,2015,hardcover_book
US,Knowing When to Stop: A Memoir,1,0,0,"1 	(Y)",Five Stars,I love it!,31-08-2015,Monday,August,2015,hardcover_book
US,The American Pageant,1,0,0,"1 	(Y)",Five Stars,It was a great purchase.,31-08-2015,Monday,August,2015,hardcover_book
US,Punjabi C.L. Bible / Common Language Version,1,0,0,"1 	(Y)",Five Stars,Quality product fast shipping.,31-08-2015,Monday,August,2015,hardcover_book
US,The Aeneid (Everyman's Library),1,0,0,"1 	(Y)",Five Stars,Very happy,31-08-2015,Monday,August,2015,hardcover_book
US,The YMCA of Middle Tennessee: Three Centuries of Service,1,0,0,"1 	(Y)",Great history book by renown author.,Love reading all books by this author. Very in-depth. His love of history is evident. Always accurate.<br /><br />Reputable shipper.,31-08-2015,Monday,August,2015,hardcover_book
US,Memoirs By Harry S. Truman: 1945 Year of Decisions,1,0,1,"1 	(Y)",Five Stars,such a great purchase,31-08-2015,Monday,August,2015,hardcover_book
US,Arms of our fighting men,1,0,0,"1 	(Y)",Four Stars,book was fine Thank you,31-08-2015,Monday,August,2015,hardcover_book
US,Hello Ocean/Hola mar,1,0,0,"1 	(Y)",Five Stars,beautiful work and brings back the childhood of one who grew up by the ocean,31-08-2015,Monday,August,2015,hardcover_book
